"RA_2006_CODE","RA_2006_NAME","POA_2006_CODE","POA_2006_CODE","RATIO","PERCENT"
"10","Major Cities of Australia","2000","2000",1,100
"10","Major Cities of Australia","2006","2006",1,100
"10","Major Cities of Australia","2007","2007",1,100
"10","Major Cities of Australia","2008","2008",1,100
"10","Major Cities of Australia","2009","2009",1,100
"10","Major Cities of Australia","2010","2010",1,100
"10","Major Cities of Australia","2011","2011",1,100
"10","Major Cities of Australia","2015","2015",1,100
"10","Major Cities of Australia","2016","2016",1,100
"10","Major Cities of Australia","2017","2017",1,100
"10","Major Cities of Australia","2018","2018",1,100
"10","Major Cities of Australia","2019","2019",1,100
"10","Major Cities of Australia","2020","2020",1,100
"10","Major Cities of Australia","2021","2021",1,100
"10","Major Cities of Australia","2022","2022",1,100
"10","Major Cities of Australia","2023","2023",1,100
"10","Major Cities of Australia","2024","2024",1,100
"10","Major Cities of Australia","2025","2025",1,100
"10","Major Cities of Australia","2026","2026",1,100
"10","Major Cities of Australia","2027","2027",1,100
"10","Major Cities of Australia","2028","2028",1,100
"10","Major Cities of Australia","2029","2029",1,100
"10","Major Cities of Australia","2030","2030",1,100
"10","Major Cities of Australia","2031","2031",1,100
"10","Major Cities of Australia","2032","2032",1,100
"10","Major Cities of Australia","2033","2033",1,100
"10","Major Cities of Australia","2034","2034",1,100
"10","Major Cities of Australia","2035","2035",1,100
"10","Major Cities of Australia","2036","2036",1,100
"10","Major Cities of Australia","2037","2037",1,100
"10","Major Cities of Australia","2038","2038",1,100
"10","Major Cities of Australia","2039","2039",1,100
"10","Major Cities of Australia","2040","2040",1,100
"10","Major Cities of Australia","2041","2041",1,100
"10","Major Cities of Australia","2042","2042",1,100
"10","Major Cities of Australia","2043","2043",1,100
"10","Major Cities of Australia","2044","2044",1,100
"10","Major Cities of Australia","2045","2045",1,100
"10","Major Cities of Australia","2046","2046",1,100
"10","Major Cities of Australia","2047","2047",1,100
"10","Major Cities of Australia","2048","2048",1,100
"10","Major Cities of Australia","2049","2049",1,100
"10","Major Cities of Australia","2050","2050",1,100
"10","Major Cities of Australia","2060","2060",1,100
"10","Major Cities of Australia","2061","2061",1,100
"10","Major Cities of Australia","2062","2062",1,100
"10","Major Cities of Australia","2063","2063",1,100
"10","Major Cities of Australia","2064","2064",1,100
"10","Major Cities of Australia","2065","2065",1,100
"10","Major Cities of Australia","2066","2066",1,100
"10","Major Cities of Australia","2067","2067",1,100
"10","Major Cities of Australia","2068","2068",1,100
"10","Major Cities of Australia","2069","2069",1,100
"10","Major Cities of Australia","2070","2070",1,100
"10","Major Cities of Australia","2071","2071",1,100
"10","Major Cities of Australia","2072","2072",1,100
"10","Major Cities of Australia","2073","2073",1,100
"10","Major Cities of Australia","2074","2074",1,100
"10","Major Cities of Australia","2075","2075",1,100
"10","Major Cities of Australia","2076","2076",1,100
"10","Major Cities of Australia","2077","2077",1,100
"10","Major Cities of Australia","2079","2079",1,100
"10","Major Cities of Australia","2080","2080",1,100
"10","Major Cities of Australia","2081","2081",0.8808,88.08
"10","Major Cities of Australia","2082","2082",1,100
"10","Major Cities of Australia","2084","2084",0.9755,97.55
"10","Major Cities of Australia","2085","2085",1,100
"10","Major Cities of Australia","2086","2086",1,100
"10","Major Cities of Australia","2087","2087",1,100
"10","Major Cities of Australia","2088","2088",1,100
