postcode,metro,regional,remote,postcode_4digit,lon,lat
200,1,0,0,200,NA,NA
221,1,0,0,221,149.13306,-35.31096
800,0,1,0,800,130.842,-12.462
801,0,1,0,801,130.845642,-12.46344
802,0,1,0,802,NA,NA
804,0,1,0,804,130.84331,-12.43106
810,0,1,0,810,130.8677469,-12.3675944
811,0,1,0,811,130.88221,-12.37565
812,0,1,0,812,130.9081831,-12.3786651
813,0,1,0,813,133.80362,-23.85845
814,0,1,0,814,130.85106,-12.38801
815,0,1,0,815,NA,NA
820,0,1,0,820,130.8475181,-12.4264942
821,0,1,0,821,130.87056,-12.42594
822,0,0.2282,0.7718,822,131.9196471,-11.8763843
823,0,0,1,823,NA,NA
826,0,1,0,826,NA,NA
828,0,1,0,828,130.9485906,-12.4265049
829,0,1,0,829,131.0091482,-12.4522272
830,0,1,0,830,131.0192349,-12.3860487
831,0,1,0,831,131.0702137,-12.5924482
832,0,1,0,832,130.9940148,-12.5147979
833,0,1,0,833,Unknown,Unknown
835,0,1,0,835,131.0696413,-12.4779013
836,0,1,0,836,131.1401349,-12.5476127
837,0,1,0,837,131.1803774,-12.8346029
838,0,1,0,838,131.0192349,-12.7174085
840,0,0,1,840,130.5533995,-12.1936054
841,0,0,1,841,130.9788775,-12.8357379
843,0,1,0,843,Unknown,Unknown
845,0,0,1,845,131.0625213,-13.0785018
846,0,0,1,846,131.1401349,-13.1748284
847,0,0,1,847,131.8004409,-13.8380256
850,0,0,1,850,132.2559685,-14.4253863
851,0,0,1,851,132.26426,-14.46497
852,0,0,1,852,133.7908453,-15.5601817
853,0,0,1,853,132.374164,-14.5473457
854,0,0,1,854,136.3097128,-16.0684461
855,0,0,1,855,Unknown,Unknown
856,0,0,1,856,Unknown,Unknown
860,0,0,1,860,134.1815176,-19.6573896
861,0,0,1,861,134.50111,-18.87107
862,0,0,1,862,136.516262,-18.9177993
863,0,0,1,863,Unknown,Unknown
870,0,0,1,870,133.8768733,-23.7018903
871,0,0,1,871,133.88071,-23.70068
872,0,0,1,872,131.2808577,-23.5886632
880,0,0,1,880,136.7381783,-12.1902862
881,0,0,1,881,136.77954,-12.18083
882,0,0,1,882,Unknown,Unknown
883,0,0,1,883,Unknown,Unknown
885,0,0,1,885,136.4224871,-13.8528647
886,0,0,1,886,132.8345405,-12.6688351
899,0,0,1,899,Unknown,Unknown
909,0,1,0,909,Unknown,Unknown
1001,1,0,0,1001,151.20929,-33.86882
1003,1,0,0,1003,151.20929,-33.86882
1004,1,0,0,1004,151.20929,-33.86882
1005,1,0,0,1005,151.20929,-33.86882
1006,1,0,0,1006,151.20929,-33.86882
1007,1,0,0,1007,151.20929,-33.86882
1008,1,0,0,1008,151.20929,-33.86882
1010,1,0,0,1010,151.20929,-33.86882
1015,1,0,0,1015,NA,NA
1020,1,0,0,1020,Unknown,Unknown
1023,1,0,0,1023,Unknown,Unknown
1026,1,0,0,1026,Unknown,Unknown
1027,1,0,0,1027,Unknown,Unknown
1028,1,0,0,1028,Unknown,Unknown
1030,1,0,0,1030,Unknown,Unknown
1031,1,0,0,1031,Unknown,Unknown
1037,1,0,0,1037,Unknown,Unknown
1041,1,0,0,1041,Unknown,Unknown
1042,1,0,0,1042,Unknown,Unknown
1043,1,0,0,1043,Unknown,Unknown
1044,1,0,0,1044,Unknown,Unknown
1100,1,0,0,1100,Unknown,Unknown
1101,1,0,0,1101,Unknown,Unknown
1109,1,0,0,1109,Unknown,Unknown
1110,1,0,0,1110,Unknown,Unknown
1114,1,0,0,1114,Unknown,Unknown
1117,1,0,0,1117,Unknown,Unknown
1119,1,0,0,1119,Unknown,Unknown
1120,1,0,0,1120,Unknown,Unknown
1133,1,0,0,1133,Unknown,Unknown
1135,1,0,0,1135,Unknown,Unknown
1139,1,0,0,1139,Unknown,Unknown
1141,1,0,0,1141,Unknown,Unknown
1145,1,0,0,1145,Unknown,Unknown
1147,1,0,0,1147,151.20534,-33.87276
1153,1,0,0,1153,Unknown,Unknown
1155,1,0,0,1155,Unknown,Unknown
1161,1,0,0,1161,Unknown,Unknown
1162,1,0,0,1162,Unknown,Unknown
1163,1,0,0,1163,Unknown,Unknown
1164,1,0,0,1164,Unknown,Unknown
1167,1,0,0,1167,Unknown,Unknown
1170,1,0,0,1170,Unknown,Unknown
1171,1,0,0,1171,Unknown,Unknown
1177,1,0,0,1177,Unknown,Unknown
1180,1,0,0,1180,Unknown,Unknown
1181,1,0,0,1181,Unknown,Unknown
1190,1,0,0,1190,Unknown,Unknown
1200,1,0,0,1200,Unknown,Unknown
1201,1,0,0,1201,Unknown,Unknown
1203,1,0,0,1203,Unknown,Unknown
1207,1,0,0,1207,Unknown,Unknown
1208,1,0,0,1208,Unknown,Unknown
1213,1,0,0,1213,Unknown,Unknown
1214,1,0,0,1214,Unknown,Unknown
1215,1,0,0,1215,Unknown,Unknown
1216,1,0,0,1216,Unknown,Unknown
1217,1,0,0,1217,Unknown,Unknown
1219,1,0,0,1219,Unknown,Unknown
1220,1,0,0,1220,Unknown,Unknown
1221,1,0,0,1221,Unknown,Unknown
1223,1,0,0,1223,Unknown,Unknown
1225,1,0,0,1225,Unknown,Unknown
1226,1,0,0,1226,Unknown,Unknown
1230,1,0,0,1230,Unknown,Unknown
1231,1,0,0,1231,Unknown,Unknown
1232,1,0,0,1232,Unknown,Unknown
1234,1,0,0,1234,Unknown,Unknown
1235,1,0,0,1235,Unknown,Unknown
1236,1,0,0,1236,Unknown,Unknown
1238,1,0,0,1238,Unknown,Unknown
1240,1,0,0,1240,Unknown,Unknown
1241,1,0,0,1241,Unknown,Unknown
1244,1,0,0,1244,Unknown,Unknown
1248,1,0,0,1248,Unknown,Unknown
1250,1,0,0,1250,Unknown,Unknown
1291,1,0,0,1291,Unknown,Unknown
1295,1,0,0,1295,Unknown,Unknown
1296,1,0,0,1296,Unknown,Unknown
1298,1,0,0,1298,Unknown,Unknown
1299,1,0,0,1299,Unknown,Unknown
1300,1,0,0,1300,151.21778,-33.87945
1301,1,0,0,1301,Unknown,Unknown
1302,1,0,0,1302,Unknown,Unknown
1303,1,0,0,1303,Unknown,Unknown
1304,1,0,0,1304,Unknown,Unknown
1311,1,0,0,1311,Unknown,Unknown
1314,1,0,0,1314,Unknown,Unknown
1317,1,0,0,1317,Unknown,Unknown
1321,1,0,0,1321,Unknown,Unknown
1325,1,0,0,1325,Unknown,Unknown
1335,1,0,0,1335,Unknown,Unknown
1340,1,0,0,1340,Unknown,Unknown
1350,1,0,0,1350,Unknown,Unknown
1355,1,0,0,1355,Unknown,Unknown
1360,1,0,0,1360,Unknown,Unknown
