postcode,year,disadvantage,econ_resources,educ_occupation
852,2006,548,636,855
822,2006,594,656,872
6718,2006,631,725,840
2559,2006,639,659,772
2306,2006,650,677,746
4875,2006,671,710,922
5012,2006,756,798,862
3019,2006,765,811,876
5113,2006,781,808,800
2166,2006,784,887,878
4871,2006,785,833,891
6728,2006,789,824,932
6729,2006,789,824,932
2834,2006,790,833,855
7019,2006,799,805,821
4303,2006,800,831,849
5084,2006,806,808,905
7261,2006,809,866,802
4895,2006,810,836,899
2369,2006,811,876,837
3047,2006,817,879,848
860,2006,820,847,938
4890,2006,820,869,890
880,2006,825,818,924
4077,2006,825,877,875
7016,2006,828,849,809
5164,2006,833,830,853
4114,2006,835,853,853
4383,2006,835,918,799
4605,2006,835,870,900
3214,2006,840,855,831
5010,2006,840,865,920
7214,2006,841,895,846
2770,2006,842,866,856
3061,2006,842,934,867
3171,2006,842,910,903
5017,2006,844,848,855
3177,2006,846,883,866
7305,2006,846,894,788
2295,2006,849,939,919
2809,2006,849,907,906
3048,2006,850,917,871
5112,2006,850,865,855
5013,2006,855,871,893
7469,2006,858,877,817
2165,2006,860,922,904
2449,2006,860,876,886
7030,2006,861,891,838
4816,2006,862,901,911
7184,2006,863,911,886
4490,2006,865,900,932
3021,2006,866,924,886
7253,2006,867,877,844
2177,2006,868,958,909
7248,2006,868,857,894
2195,2006,871,876,952
2361,2006,871,923,902
846,2006,871.3810119628906,888.7785034179688,947.3494873046875
2144,2006,875,912,952
2564,2006,877,883,887
2831,2006,877,903,1002
4674,2006,877,926,898
3020,2006,879,920,902
2168,2006,882,940,899
5700,2006,883,881,890
5556,2006,884,909,859
2820,2006,885,906,927
2504,2006,886,919,872
3066,2006,886,859,1058
845,2006,888,900,995
6061,2006,889,910,919
3175,2006,894,920,925
4376,2006,894,942,854
2829,2006,895,923,952
3174,2006,895,921,917
4076,2006,895,940,920
5168,2006,896,886,879
2142,2006,897,903,960
2823,2006,897,926,939
5690,2006,897,914,926
4110,2006,898,914,897
4600,2006,898,924,925
4888,2006,898,926,918
4887,2006,899,913,913
6725,2006,899,918,962
2194,2006,900,916,988
2792,2006,900,951,873
7010,2006,900,892,885
2327,2006,904,915,847
5107,2006,904,938,874
7140,2006,904,934,867
5108,2006,905,930,865
6485,2006,905,912,932
5115,2006,906,936,857
2528,2006,907,923,872
4410,2006,907,946,906
4606,2006,907,934,894
4613,2006,908,941,938
3025,2006,909,944,908
7112,2006,909,925,942
2760,2006,910,929,875
3465,2006,910,913,892
3940,2006,910,914,887
5473,2006,910,930,904
4874,2006,911,925,929
2877,2006,912,939,942
7116,2006,912,958,905
2196,2006,913,955,943
5023,2006,913,911,920
2192,2006,914,946,961
2473,2006,914,917,913
5008,2006,914,911,966
5433,2006,914,935,921
2382,2006,915,944,914
2840,2006,915,915,964
3840,2006,915,907,891
2190,2006,916,950,946
2880,2006,916,918,890
3915,2006,916,919,888
5221,2006,916,941,952
2017,2006,917,896,1081
5015,2006,917,903,940
2551,2006,918,927,894
4131,2006,918,937,909
4132,2006,918,953,863
7011,2006,918,923,874
2845,2006,919,944,852
5163,2006,919,927,879
4508,2006,920,940,877
4621,2006,920,963,923
5110,2006,920,982,875
7320,2006,920,900,893
2263,2006,921,927,883
2471,2006,921,949,894
3371,2006,921,929,933
3825,2006,921,907,895
5346,2006,921,944,851
2541,2006,922,918,921
2827,2006,922,949,937
3556,2006,922,914,889
5014,2006,922,919,926
7467,2006,922,916,868
2143,2006,923,945,957
2199,2006,923,954,932
2357,2006,923,928,943
2447,2006,923,926,902
3073,2006,923,932,945
5165,2006,923,907,913
2824,2006,924,944,952
4387,2006,924,956,910
4862,2006,924,942,916
6102,2006,924,900,1047
2294,2006,925,886,986
2370,2006,925,928,938
5558,2006,925,948,908
7215,2006,926,941,925
7325,2006,926,931,913
7326,2006,926,931,913
3219,2006,927,919,906
3414,2006,927,937,915
4880,2006,927,949,916
5043,2006,927,896,967
5345,2006,927,939,907
7263,2006,927,940,902
2304,2006,928,903,951
4287,2006,928,966,930
4805,2006,928,960,886
7175,2006,928,947,946
7176,2006,928,947,946
7177,2006,928,947,946
7270,2006,928,947,885
2307,2006,929,917,944
2485,2006,930,933,914
2700,2006,930,942,928
4380,2006,930,954,923
7310,2006,930,924,903
7331,2006,930,959,877
4019,2006,931,925,932
4660,2006,931,968,905
2141,2006,932,965,987
2160,2006,932,942,957
2324,2006,932,941,898
3629,2006,932,939,910
7009,2006,932,910,924
2380,2006,933,940,920
3012,2006,933,920,990
3612,2006,933,960,923
4650,2006,933,943,898
7322,2006,933,933,890
6477,2006,934,919,934
4304,2006,935,937,907
5343,2006,935,937,917
7117,2006,935,969,912
7260,2006,935,949,870
2472,2006,936,947,905
2790,2006,936,941,893
3304,2006,936,958,919
4312,2006,936,953,924
4601,2006,936,969,940
4510,2006,937,962,894
5085,2006,937,923,964
2360,2006,938,942,918
2388,2006,938,945,953
2429,2006,938,950,910
2847,2006,938,973,869
3169,2006,938,961,957
3699,2006,938,907,929
5007,2006,938,911,1019
6401,2006,938,946,926
7190,2006,938,963,911
6460,2006,939,944,953
2372,2006,940,952,931
3630,2006,940,938,927
3799,2006,940,946,927
5033,2006,940,913,970
7304,2006,940,948,932
6064,2006,941,990,918
6103,2006,941,925,993
3319,2006,942,966,948
7315,2006,942,936,910
2164,2006,943,988,919
2296,2006,943,891,1001
2825,2006,943,962,931
5086,2006,943,930,973
5554,2006,943,941,895
6225,2006,943,977,881
6535,2006,943,958,944
7330,2006,943,971,892
4205,2006,944,947,898
7301,2006,944,951,916
3046,2006,945,951,942
3377,2006,945,950,930
4507,2006,945,963,925
2329,2006,946,964,953
4225,2006,946,930,943
