"Origin","lon","lat"
"5114",138.7794089,-34.7161335
"5113",138.673985,-34.7049853
"5112",138.673985,-34.7325385
"2607",149.0984358,-35.3639236
"2902",133.775136,-25.274398
"2907",133.775136,-25.274398
"2906",149.0984358,-35.463155
"2905",149.1099161,-35.4366428
"2904",149.0984358,-35.4135536
"2903",149.0898262,-35.3987152
"2606",149.0898262,-35.3490795
"2615",149.0238401,-35.2087136
"4053",152.9853264,-27.3957404
"4114",153.1030766,-27.6372491
"4051",152.9882693,-27.4261914
"4059",153.0059279,-27.4515704
"4073",152.9529566,-27.5435374
"4054",152.9549828,-27.4119662
"4006",153.0345152,-27.4500534
"4030",153.0340375,-27.4230215
"4068",152.973555,-27.5017624
"4500",152.9323602,-27.3033237
"4007",153.0648006,-27.4366918
"4121",153.0589533,-27.5223127
"4060",152.9823835,-27.4412376
"4069",152.8970569,-27.5020161
"4031",153.0294751,-27.4076416
"4055",152.9323602,-27.3901209
"6064",115.8462613,-31.8364571
"6066",115.8935783,-31.836786
"6055",115.9822747,-31.8545729
"6061",115.8462613,-31.8682916
"6000",115.8610488,-31.9525739
"6010",115.7752703,-31.9685608
"6065",115.816684,-31.763241
"2569",150.7040079,-34.1924773
"2570",150.6285091,-34.0252949
"2563",150.7504879,-34.1028697
"2567",150.7562989,-34.048387
"2539",150.2342337,-35.3536829
"2560",150.8144215,-34.2364674
"2573",150.587872,-34.233219
"2752",150.5936766,-33.9245658
"4159",153.2208914,-27.4880371
"4161",153.220588,-27.522958
"4160",153.2390188,-27.4869721
"4157",153.1979543,-27.5819961
"4163",153.2667742,-27.5334347
"2113",151.134494,-33.7934648
"2085",151.2044159,-33.7293236
"2112",151.1111936,-33.807991
"2117",151.0296696,-33.7973906
"2067",151.1781916,-33.7969122
"2122",151.0966326,-33.7863691
"2086",151.2248157,-33.7473073
"6009",115.8107681,-31.9820615
"6011",115.7604781,-31.9956284
"6012",115.7634366,-32.0135412
"6014",115.8018941,-31.9389216
"6753",119.7889248,-22.9798905
"6530",113.8584737,-28.7776521
"5068",138.6564337,-34.9202316
"5153",138.7794089,-35.08318
"5065",138.6439004,-34.9402486
"5037",138.5512419,-34.9545329
"5067",138.6313699,-34.9236189
"5061",138.6063175,-34.9544679
"5245",138.8095665,-35.0314617
"5066",138.663955,-34.9485341
"5062",138.6338758,-34.9818924
"5072",138.7040858,-34.9101042
"5201",138.6990679,-35.2329394
"5137",138.7442455,-34.9358196
"5034",138.5912914,-34.9528246
"5152",138.7091042,-34.9900747
"5063",138.6213476,-34.9515307
"5144",138.7743842,-34.966565
"5700",137.8624914,-32.6009669
"5081",138.6163371,-34.8899195
"5069",138.6263585,-34.9078055
"5064",138.6439004,-34.9585672
"5242",138.8095665,-34.9764499
"5211",138.5187229,-35.5042622
"5214",138.8397403,-35.4919667
"5212",138.6689697,-35.5032052
"5213",138.7091042,-35.4834441
"2259",151.3501856,-33.2059456
"2258",151.3501856,-33.3295763
"2250",151.1869325,-33.3502247
"2251",151.38519,-33.4721323
"2257",151.3385191,-33.5220832
"2265",151.4435474,-33.0641471
"2256",151.2568777,-33.5117779
"2665",146.8311117,-34.3566955
"5241",138.8699303,-34.9094528
"5244",138.9404364,-34.929131
"5232",138.8296806,-34.8562147
"5234",138.9706803,-34.821959
"5351",138.9202828,-34.6448853
"5235",139.1019233,-34.7002931
"5233",138.8900659,-34.8074268
"5238",139.609512,-34.8860063
"5231",138.8598651,-34.7490901
"3152",145.220397,-37.8668518
"3153",145.2756505,-37.8386354
"3159",145.3862638,-37.9225135
"3132",145.1983055,-37.8219905
"3135",145.2535448,-37.8218486
"3136",145.2811778,-37.7983502
"3156",145.3032906,-37.9368007
"3111",145.1872619,-37.7901921
"3115",145.2590707,-37.7347069
"3134",145.2424941,-37.7900435
"3158",145.3309395,-37.9039829
"3178",145.2424941,-37.9210442
"3116",145.3088196,-37.7373267
"4700",150.5004652,-23.3762489
"4702",149.3303348,-23.6457869
"4701",150.5501151,-23.3500536
"4670",152.3593807,-24.8822309
"5091",138.7342029,-34.8215901
"5154",138.7442455,-35.0183091
"5155",138.7643362,-34.9990972
"5141",138.7040858,-34.9376057
"5096",138.6539268,-34.8068805
"5073",138.6815087,-34.8939181
"6390",116.3249438,-32.9066317
"6370",117.6904167,-32.7983677
"6338",118.2058768,-34.2820735
"6350",117.784246,-33.2742226
"6312",117.4086488,-32.9486659
"6236",115.8758354,-33.4470807
"6395",117.0794082,-34.0632655
"6353",118.5797981,-33.0376774
"6346",119.9740534,-33.5815102
"6341",118.2058768,-33.6254623
"6701",114.524264,-23.9673429
"6372",117.6200138,-32.6275771
"6398",116.6553351,-34.7808363
"2790",150.1647697,-33.495962
"2785",150.2458144,-33.7110343
"2845",150.0606392,-33.4174224
"2786",150.3211123,-33.5115869
"4650",152.695998,-25.5350235
"4655",152.8235456,-25.2965245
"4662",152.5952794,-25.3472258
"6168",115.7693535,-32.2822732
"6169",115.7693535,-32.32457
"6171",115.8285153,-32.3222184
"6170",115.8107681,-32.2679505
"6167",115.8403461,-32.2244737
"6174",115.7634366,-32.4262528
"6125",115.9704503,-32.3755625
"6176",115.7930198,-32.4250674
"2648",142.1912307,-33.3707197
"2739",142.1806128,-34.1427659
"2717",142.0851258,-34.0796702
"3505",141.8100218,-34.189156
"2738",142.4891909,-34.2057057
"3500",142.1169401,-34.2151229
"2190",151.0529578,-33.90558
"2132",151.114106,-33.8828873
"2194",151.1024569,-33.9105784
"2195",151.0733379,-33.9235692
"2192",151.0908086,-33.9178204
"2136",151.0733379,-33.8929126
"2143",151.0296696,-33.8893965
"2131",151.125756,-33.8909735
"2135",151.0762495,-33.8808808
"2170",150.9190988,-33.9477825
"2614",149.0525253,-35.2516136
"2913",149.1099161,-35.1783044
"7021",147.4888173,-42.9042835
"7018",147.3974377,-42.8727195
"7017",147.3379482,-42.7007869
"7171",147.5095172,-42.765277
"7019",147.4367555,-42.8951371
"7170",147.4680759,-42.8507505
"7024",147.5238773,-42.9500417
"7022",147.4263497,-43.0329872
"7020",147.4748606,-42.9517898
"7172",147.6082338,-42.7276445
"7009",147.3008839,-42.8418713
"7000",147.3100401,-42.8744692
"7008",147.2858972,-42.8667403
"7015",147.3550909,-42.8394367
"7214",147.9465902,-41.5180471
"7054",147.2181098,-42.8994454
"7005",147.3433797,-42.9148213
"7010",147.2556802,-42.8372769
"7140",146.5885592,-42.5170721
"7320",145.8962992,-41.0701328
"3064",144.9391595,-37.5424079
"7004",147.2829703,-42.8954918
"7215",148.2278837,-41.6050056
"7173",147.6846018,-42.8403868
"7187",147.8206282,-43.0808492
"3125",145.1099967,-37.8483275
"7053",147.3427927,-42.9517774
"7052",147.3203772,-43.0090716
"7030",147.0214014,-42.1876915
"7011",147.2330077,-42.7954134
"7050",133.775136,-25.274398
"3133",145.1983055,-37.8500602
"3150",145.1706992,-37.8921876
"3175",145.2148736,-38.0191689
"3129",145.1210303,-37.8052948
"3149",145.1265477,-37.8772869
"3179",145.220397,-37.9042587
"3170",145.1762197,-37.9267579
"7012",147.1788375,-42.8373287
"2750",150.6865817,-33.744767
"2759",150.7853574,-33.8060826
"2747",150.7330562,-33.7568098
